Region,Seed,Team,Sagarin rating
South,1,Alabama,92.23
South,2,Arizona,89.86
South,3,Baylor,87.36
South,4,Virginia,80.66
South,5,San Diego State,85.19
South,6,Creighton,87.63
South,7,Missouri,82.38
South,8,Maryland,85.47
South,9,West Virginia,85.86
South,10,Utah State,84.12
South,11,NC State,83.25
South,12,Charleston,80.69
South,13,Furman,79.48
South,14,UC Santa Barbara,76.41
South,15,Princeton,76.31
South,16,TAMU-CC,70.24
East,1,Purdue,89.16
East,2,Marquette,87.51
East,3,Kansas State,85.34
East,4,Tennessee,89.28
East,5,Duke,87.34
East,6,Kentucky,85.95
East,7,Michigan State,84.93
East,8,Memphis,86.53
East,9,Florida Atlantic,83.66
East,10,Southern California,84.12
East,11,Providence,84.12
East,12,Oral Roberts,80.49
East,13,Louisiana,77.42
East,14,Montana State,74.72
East,15,Vermont,76.74
East,16,FDU,63.86
Midwest,1,Houston,91.85
Midwest,2,Texas,90.46
Midwest,3,Xavier-Ohio,86.5
Midwest,4,Indiana,86.21
Midwest,5,Miami-Florida,84.18
Midwest,6,Iowa State,84.82
Midwest,7,Texas A&M,86.08
Midwest,8,Iowa,84.85
Midwest,9,Auburn,85.32
Midwest,10,Penn State,83.88
Midwest,11,Pittsburgh,81.54
Midwest,12,Drake,81.9
Midwest,13,Kent State,81.09
Midwest,14,Kennesaw State,73.1
Midwest,15,Colgate,76.13
Midwest,16,Northern Kentucky,72.62
West,1,Kansas,89.95
West,2,UCLA,91.21
West,3,Gonzaga,90.47
West,4,Connecticut,90.07
West,5,Saint Mary's-Cal.,86.43
West,6,TCU,85.95
West,7,Northwestern,83.93
West,8,Arkansas,85.76
West,9,Illinois,85.3
West,10,Boise State,81.89
West,11,Arizona State,80.99
West,12,VCU(Va. Commonwealth),83.45
West,13,Iona,79.69
West,14,Grand Canyon,76
West,15,NC Asheville,72.84
West,16,Howard,69
